Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
TomSnipes10,@TomSnipes10,2022-05-24T23:59:53.000Z,False,"Obi Wan, Stranger Things and Top Gun ",0,0,0,0,[],[],"['\\U0001f525', '\\U0001f525', '\\U0001f525']",https://pbs.twimg.com/profile_images/1536468752669233152/n6UP5e0W_normal.jpg,https://x.com/TomSnipes10/status/1529250869107208193,tweet_id:1529250869107208193
Karla Marte;,@kmarte2,2022-05-24T23:59:48.000Z,True,Ayer vi Top Gun: Maverick y probablemente es la mejor película de acción que he visto en años.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1828115266754023424/924cELYP_normal.jpg,https://x.com/kmarte2/status/1529250847556780033,tweet_id:1529250847556780033
Lucas Morvan,@LucasMorvan18,2022-05-24T23:59:44.000Z,False,"Top Gun Maverick est juste incroyable, il va clairement dans mon top film  TopGunMaverick",0,0,0,0,[],[],['\\U0001f970'],https://pbs.twimg.com/profile_images/1468990335749660674/Ds0cSrxN_normal.jpg,https://x.com/LucasMorvan18/status/1529250830871830528,tweet_id:1529250830871830528
Mike Pilch,@mdpilch,2022-05-24T23:59:43.000Z,True,"OMG Top Gun Maverick is at 97%, 8.6 on IMDb and 80% on metacritic.  Fans and critics say it blows the original away.  #geekouttime",0,0,0,0,['#geekouttime'],[],[],https://pbs.twimg.com/profile_images/1674935897140101120/E6qCmkiX_normal.jpg,https://x.com/mdpilch/status/1529250825947824131,tweet_id:1529250825947824131
Diego Stedile,@diegosfm,2022-05-24T23:59:32.000Z,False,Top Gun: Maverick | Um herói realista para adultos nostálgicos https://bit.ly/3PDLj3N,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1765429787894353920/UtWRBTvo_normal.jpg,https://x.com/diegosfm/status/1529250778719854593,tweet_id:1529250778719854593
•xandito•,@AbilioCarreira,2022-05-24T23:59:26.000Z,False,TOPGUN ,0,0,0,0,[],[],"['\\U0001f975', '\\U0001f975', '\\U0001f975']",https://pbs.twimg.com/profile_images/1487543760078741507/dxlLgDtK_normal.jpg,https://x.com/AbilioCarreira/status/1529250755953184769,tweet_id:1529250755953184769
ApurvaMonaloveshippers7_amena,@ApurvaMonafan1,2022-05-24T23:59:20.000Z,False,watching Top Gun: Maverick  early access event  #TomCruise   ,0,0,0,0,['#TomCruise'],"['@TomCruise', '@ParamountPics', '@TopGunMovie']","['\\u2665\\ufe0f', '\\U0001f970', '\\U0001f618']",https://pbs.twimg.com/profile_images/1462584216424792068/J_WK14ya_normal.jpg,https://x.com/ApurvaMonafan1/status/1529250726895050752,tweet_id:1529250726895050752
Commander Cool,@coolguy6267,2022-05-24T23:59:09.000Z,False,Top Gun Time!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1336873401529544705/7W56JbZv_normal.jpg,https://x.com/coolguy6267/status/1529250680967421957,tweet_id:1529250680967421957
B1Y the Black Larry David,@HoodavilleBoney,2022-05-24T23:58:57.000Z,False,So tempted to watch Top Gun right now,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1801840261963599872/x8bvXKcV_normal.jpg,https://x.com/HoodavilleBoney/status/1529250633898926080,tweet_id:1529250633898926080
Dekaiwa Scarlet【ですわ】@ College (again),Dekaiwa Scarlet【ですわ】@ College (again),2022-05-24T23:58:50.000Z,False,"Still unable to fully believe the insane crossover between umamusume and top gun, this is so fucking wild.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1762310895718522880/fMeSrErn_normal.jpg,https://x.com/Tsundrinker/status/1529250602114355200,tweet_id:1529250602114355200
