Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
iam_swiftie,@3le_3dwards,2022-03-30T23:59:46.000Z,False,"Il 25 maggio esce il secondo film di Top Gun. 

Indovinate chi andrà a guardarlo",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1827112855633526784/ds1Ugxrm_normal.jpg,https://x.com/3le_3dwards/status/1509319504693706754,tweet_id:1509319504693706754
Margal,@_Margal,2022-03-30T23:59:46.000Z,False,"TOP GUN 2 SORT LE 25 MAI 2022.
(Pardon, vrai sujet s’il vous plait)https://m.youtube.com/watch?v=qKkxr7m7rJI&feature=share&fbclid=IwAR1zVvlYGsAmwg_1k4_y23zE21JkdREii0Hra_6NcCvBemYRLWM2vGxU4bc…",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1338269601646440448/CmeQp9Zs_normal.jpg,https://x.com/_Margal/status/1509319503137710084,tweet_id:1509319503137710084
トロフィータスク,@topgun0110,2022-03-30T23:57:54.000Z,False,地球防衛軍のトロフィーあと一個でプラチナなんだよなあ！？,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1083270607578394626/8LPsulzf_normal.jpg,https://x.com/topgun0110/status/1509319034034352128,tweet_id:1509319034034352128
Beck Erixson,@BErixson,2022-03-30T23:57:28.000Z,False,"Anyone who thinks romance novels have unrealistic plots should know when I was dating my husband we were at a subvets (bar) for a reunion and he, his shipmates, and eventually the entire bar sang Lost that Lovin' Feeling Top Gun style to me... I wanted to hide under my chair.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1484938477531807748/pqly8XDE_normal.jpg,https://x.com/BErixson/status/1509318924827082758,tweet_id:1509318924827082758
ian hardy,@vikianuk,2022-03-30T23:57:20.000Z,False,Super Hornets play starring role in 'Top Gun: Maverick' movie https://forces.net/aircraft/news/top-gun-maverick-trailer-out-movie-hits-cinema-may…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1556658990347599872/nWnVPLbu_normal.jpg,https://x.com/vikianuk/status/1509318894867070980,tweet_id:1509318894867070980
Duke_KaBooM 𓁳,@Philips_247,2022-03-30T23:57:14.000Z,False,Top Gun: Maverick - Official Trailer 3 (2022) Tom Cruise https://youtu.be/xL3CTra4bS4 via ,0,0,0,0,[],['@YouTube'],[],https://pbs.twimg.com/profile_images/1641284057794265089/t5LFcNPV_normal.jpg,https://x.com/Philips_247/status/1509318866287087620,tweet_id:1509318866287087620
Lara V,@viamolala,2022-03-30T23:56:46.000Z,False,Rewatched Top Gun since new trailer came out for Top Gun: Maverick. Ugh  has been my crush since I was like 10 years old ,0,0,0,0,[],['@TomCruise'],['\\U0001f972'],https://pbs.twimg.com/profile_images/672332742642655232/bIH_gOs2_normal.jpg,https://x.com/viamolala/status/1509318749546946564,tweet_id:1509318749546946564
The News Room India,@Newsroomoffical,2022-03-30T23:54:05.000Z,False,Tom Cruise to dogfight world’s most advanced Russia-made Su-57 fighter jet in Top Gun: Maverick | Mobility News https://thenewsroomindia.in/tom-cruise-to-dogfight-worlds-most-advanced-russia-made-su-57-fighter-jet-in-top-gun-maverick-mobility-news/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1466092928313421824/nfePmjMi_normal.jpg,https://x.com/Newsroomoffical/status/1509318073425272839,tweet_id:1509318073425272839
∞Bego Alias Pelapistachos/Sor pecadora,@begocreaciones2,2022-03-30T23:53:29.000Z,False,"Top Gun 
1986 VS 2020
Como se veían y edad que tenían en el 86 y en  el 2020
Algunos sorprenden https://youtu.be/jX5LIaMmQ0g",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1612066014602092544/tjymFguC_normal.jpg,https://x.com/begocreaciones2/status/1509317922250010624,tweet_id:1509317922250010624
Eduardo Martinez,@balito71,2022-03-30T23:53:17.000Z,False,Top gun. Me sentía Tom cruise jaja,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/3686019330/4c83a9e9a8117fe84a7b229305de6fc6_normal.jpeg,https://x.com/balito71/status/1509317873403060226,tweet_id:1509317873403060226
Jackie Moon,@SnowMiser84,2022-03-30T23:52:22.000Z,False," with all due respect, Top Gun holds up. Don’t listen to your hater co-host.",0,0,0,0,[],['@bobfescoe'],[],https://pbs.twimg.com/profile_images/1851077140646617088/Ovv7xGFB_normal.jpg,https://x.com/SnowMiser84/status/1509317644813492228,tweet_id:1509317644813492228
Eduardo,@EduardoBonJovi,2022-03-30T23:51:30.000Z,False,Só espero que toque Danger Zone nesse novo Top Gun,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1746370215942774785/KfeDV1tc_normal.jpg,https://x.com/EduardoBonJovi/status/1509317425162072070,tweet_id:1509317425162072070
sebastiao p. ribeiro filho,@sebastiaopint13,2022-03-30T23:51:19.000Z,False,"Top Gun: Maverick | Novo Trailer Oficial | LEG | Paramount Pictures Brasil https://youtu.be/9Jgua93Xhcw via  
'TRAILER DE FILME. 26 DE MAIO NOS CINEMAS'!",0,0,0,0,[],['@YouTube'],[],https://pbs.twimg.com/profile_images/1045114533323452417/CSFMK2pU_normal.jpg,https://x.com/sebastiaopint13/status/1509317379167338499,tweet_id:1509317379167338499
Top Gun Wells,@XJacobWellsX,2022-03-30T23:50:45.000Z,False,Fr I need a hat,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1782134315842666496/AynAA0OW_normal.jpg,https://x.com/XJacobWellsX/status/1509317234484727812,tweet_id:1509317234484727812
topgun •,@Kelroydaily,2022-03-30T23:50:02.000Z,True,was to be one of the greatest,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1824463211132796928/qP3tBkUL_normal.jpg,https://x.com/Kelroydaily/status/1509317054318456833,tweet_id:1509317054318456833
Jos Brownlie,@josbrownlie,2022-03-30T23:48:15.000Z,False,"Watch ""IWC | Big Pilot's Top Gun Ceramic Editions 2022 | Review"" by  https://youtu.be/Zii3SYxCcbA",0,0,0,0,[],['@oracle_time'],[],https://pbs.twimg.com/profile_images/1314963652135485440/Wj7bYuuR_normal.jpg,https://x.com/josbrownlie/status/1509316607683833871,tweet_id:1509316607683833871
Jos Brownlie,@josbrownlie,2022-03-30T23:46:59.000Z,False,New video by WatchAdvisor: IWC Pilot’s Watch Chronograph 41 Top Gun Ceratanium &  IWC Big Pilot’s Watch 43 Top Gun https://youtu.be/AlydD6CJP6c,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1314963652135485440/Wj7bYuuR_normal.jpg,https://x.com/josbrownlie/status/1509316287062855682,tweet_id:1509316287062855682
Masahiro 6170,@Marboostyle,2022-03-30T23:44:02.000Z,False,今年はTOP GUNみたいっすね,0,0,0,0,[],[],['\\u2757\\ufe0f'],https://pbs.twimg.com/profile_images/1612397684031393792/sNi10HRF_normal.jpg,https://x.com/Marboostyle/status/1509315547179065346,tweet_id:1509315547179065346
