Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
M. Thermopolis Renaldi,@ChinxMia,2023-06-14T23:59:41.000Z,False,"So after 682637 years, Extraction 2 is coming out.",0,0,0,108,[],[],[],https://pbs.twimg.com/profile_images/1760159111667154944/Zd68nzp6_normal.jpg,https://x.com/ChinxMia/status/1669132532498014209,tweet_id:1669132532498014209
Fashionista Stories,@CheriStories,2023-06-14T23:58:28.000Z,False,Sam Hargrave in Canali at the ''#Extraction2 '' NY Premiere https://shar.es/afBEWJ,0,0,0,29,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1110336685445967872/0JH3suEF_normal.jpg,https://x.com/CheriStories/status/1669132226192080900,tweet_id:1669132226192080900
Tony,@Amid_Tony,2023-06-14T23:58:14.000Z,False,I need Extraction 2 omg it comes out Friday I can't wait holy shit,0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1587177998616256513/HM-Ahv5c_normal.jpg,https://x.com/Amid_Tony/status/1669132169887850498,tweet_id:1669132169887850498
Jonathan D Rodriguez,@thejrod_87,2023-06-14T23:57:01.000Z,False,#Extraction2 was awesome. Can’t wait to see it again this weekend. Highly recommended.,0,0,0,1.3K,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1654957473432731649/RGuEYCZG_normal.jpg,https://x.com/thejrod_87/status/1669131860020961281,tweet_id:1669131860020961281
Rosé Goku Black,@rosebyanyother0,2023-06-14T23:55:35.000Z,False,Yo Friday boutta beit for Netflix bro we getting the new black clover movie and extraction 2,0,0,0,83,[],[],[],https://pbs.twimg.com/profile_images/1689665419177562112/PoG7W0kE_normal.jpg,https://x.com/rosebyanyother0/status/1669131502649593857,tweet_id:1669131502649593857
Steve Feitl,@SteveFeitl,2023-06-14T23:55:03.000Z,True,"#Extraction2 Mr. Met looks amazing.

Book him a cameo in the next sequel.",0,0,0,176,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/130912608/intermettwitter_normal.jpg,https://x.com/SteveFeitl/status/1669131368012365824,tweet_id:1669131368012365824
CMᶜ 𓂀,@skineZe,2023-06-14T23:53:44.000Z,False,Extraction 2?  I'm ready,0,0,0,197,[],[],['\\U0001f440'],https://pbs.twimg.com/profile_images/1742415646426587137/BGuB_ssm_normal.jpg,https://x.com/skineZe/status/1669131037522157569,tweet_id:1669131037522157569
Robson (),@leMopaoMM,2023-06-14T23:51:53.000Z,False,Extraction 2,0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1604542848522764294/NzUalDGJ_normal.jpg,https://x.com/leMopaoMM/status/1669130568691331073,tweet_id:1669130568691331073
,@gabrielamar___,2023-06-14T23:46:14.000Z,True,More than Extraction??? The Adam project??? Only 2 behind from GLASS ONION?????,0,0,0,84,[],[],[],https://pbs.twimg.com/profile_images/1778467420442599424/SL_uHMXs_normal.jpg,https://x.com/gabrielamar___/status/1669129147442946049,tweet_id:1669129147442946049
moviechaser,@StoutYachin,2023-06-14T23:45:00.000Z,False,Extraction 2 - Clip,0,0,0,67,[],[],[],https://pbs.twimg.com/profile_images/1665524121562927105/kkBL3NIf_normal.jpg,https://x.com/StoutYachin/status/1669128836662067202,tweet_id:1669128836662067202
Kiea,@YoSoyKiea,2023-06-14T23:43:49.000Z,False,there’s an Extraction 2 otw ,0,0,0,60,[],[],['\\U0001f927'],https://pbs.twimg.com/profile_images/1402761943346200579/SHQA9o9I_normal.jpg,https://x.com/YoSoyKiea/status/1669128540359475203,tweet_id:1669128540359475203
Eubie Wildin,@ayo_irl,2023-06-14T23:43:11.000Z,False,"Black Mirror, The Bear, and Extraction 2 ",0,0,0,146,[],[],"['\\U0001f37f', '\\U0001f964']",https://pbs.twimg.com/profile_images/1390110750149013504/tA1LBWwQ_normal.jpg,https://x.com/ayo_irl/status/1669128380485074945,tweet_id:1669128380485074945
Neia,@Itsnei__,2023-06-14T23:42:52.000Z,False,Extraction is soo good. I can’t wait to watch part 2 on Friday !,0,0,0,76,[],[],[],https://pbs.twimg.com/profile_images/1601452011739914240/QLvWmr3Z_normal.jpg,https://x.com/Itsnei__/status/1669128301644771336,tweet_id:1669128301644771336
Marcus ,@TheMisterMarcus,2023-06-14T23:40:13.000Z,True,Secret Invasion. Extraction 2. I have things to watch soon.,0,0,0,5.2K,[],[],[],https://pbs.twimg.com/profile_images/1785761386657665024/NnbL7mYf_normal.jpg,https://x.com/TheMisterMarcus/status/1669127632430964740,tweet_id:1669127632430964740
butchers girl,@vickietoryy,2023-06-14T23:38:36.000Z,False,"watching barbie, extraction 2 and many more will be. dream",0,0,0,130,[],[],[],https://pbs.twimg.com/profile_images/1688392819696701440/mb7Kr85M_normal.jpg,https://x.com/vickietoryy/status/1669127227307442179,tweet_id:1669127227307442179
The big Biscuit,@bains_bhavi,2023-06-14T23:38:20.000Z,False,Extraction 2 gonna be fya,0,0,0,97,[],[],[],https://pbs.twimg.com/profile_images/1810108160319131648/yE5-xi22_normal.jpg,https://x.com/bains_bhavi/status/1669127160425226240,tweet_id:1669127160425226240
butchers girl,@vickietoryy,2023-06-14T23:37:21.000Z,False,when’s extraction 2 coming out? i better be free by then!!!,0,0,0,496,[],[],[],https://pbs.twimg.com/profile_images/1688392819696701440/mb7Kr85M_normal.jpg,https://x.com/vickietoryy/status/1669126912172597248,tweet_id:1669126912172597248
Joe Zee,@BostonCards630,2023-06-14T23:33:12.000Z,True,Extraction 2 comes out Friday?,0,0,0,231,[],[],[],https://pbs.twimg.com/profile_images/1680259742931755008/WX3dpkoV_normal.jpg,https://x.com/BostonCards630/status/1669125869145554944,tweet_id:1669125869145554944
Dark Zamo,@DarkZamo,2023-06-14T23:31:02.000Z,False,"""El nivel de acción es imposible de describir""Misión Rescate 2Este 16 de Junio 2023 por #accion #pelicula #streaming #netflix  #Extraction2 #RussoBrothers ",0,0,0,330,"['#accion', '#pelicula', '#streaming', '#netflix', '#Extraction2', '#RussoBrothers']","['@NetflixLAT', '@chrishemsworth', '@Golshifteh', '']","['\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1822182674540236801/8xMNShJY_normal.jpg,https://x.com/DarkZamo/status/1669125321097101312,tweet_id:1669125321097101312
