Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
STRIIT,@Striit_,2023-06-21T23:59:47.000Z,False,Soy yo o Extraction 2 es mil veces más aburrida que la 1?,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1790571727879024640/6-apvmuO_normal.jpg,https://x.com/Striit_/status/1671669271137603585,tweet_id:1671669271137603585
Ari.,@Ariana_Janay,2023-06-21T23:59:30.000Z,False,Extraction 1 & 2 yo. 10/10,0,0,0,92,[],[],[],https://pbs.twimg.com/profile_images/1719063828191682560/DJjjFJEr_normal.jpg,https://x.com/Ariana_Janay/status/1671669203168886786,tweet_id:1671669203168886786
Lhadj,@lhadjyy,2023-06-21T23:58:32.000Z,False,hypnotic / Extraction 2 / Medellin / AKA,0,0,0,174,[],[],[],https://pbs.twimg.com/profile_images/1674814559612280837/Z_ehUTqD_normal.png,https://x.com/lhadjyy/status/1671668959815319553,tweet_id:1671668959815319553
Barimah,@bkod4,2023-06-21T23:56:26.000Z,False,"Tyler is going to St. George’s alone?
Eiiiih#Extraction2",0,0,0,76,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1774149674649128961/vYubkVvF_normal.jpg,https://x.com/bkod4/status/1671668429818822657,tweet_id:1671668429818822657
Captain Black Sparrow,@Kofi_In_The_Mrn,2023-06-21T23:56:07.000Z,False,Netflix is setting up a whole Extraction franchise and I ain’t mad at it tbh  keep em action sequences coming #Extraction2,0,0,0,50,['#Extraction2'],[],['\\U0001f60c'],https://pbs.twimg.com/profile_images/1372138984214827011/0EfJCxxP_normal.jpg,https://x.com/Kofi_In_The_Mrn/status/1671668348487184385,tweet_id:1671668348487184385
Barimah,@bkod4,2023-06-21T23:55:51.000Z,False,"Ooooh
Yaz couldn’t survive
Tyler must slap that Sandro kid#Extraction2",0,0,0,71,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1774149674649128961/vYubkVvF_normal.jpg,https://x.com/bkod4/status/1671668284486307846,tweet_id:1671668284486307846
Vinny’,@MoneySprungV,2023-06-21T23:55:17.000Z,False,Extraction 2 was a snooze for me man. Y’all liked that? Y’all liked agenda panther though no need to answer,0,0,0,64,[],[],[],https://pbs.twimg.com/profile_images/1850705146654720000/EOb3LBCL_normal.jpg,https://x.com/MoneySprungV/status/1671668141783498755,tweet_id:1671668141783498755
Big,@2Smooth_Will,2023-06-21T23:54:15.000Z,False,Extraction 2 on display.,0,0,0,154,[],[],[],https://pbs.twimg.com/profile_images/1826998971350282240/-zkyg1HU_normal.jpg,https://x.com/2Smooth_Will/status/1671667882139238400,tweet_id:1671667882139238400
@drey_design,@drey_design,2023-06-21T23:53:44.000Z,False,This guy suppose day Extraction 2 ,0,0,0,17,[],[],['\\U0001f644'],https://pbs.twimg.com/profile_images/1328719854707339265/jg3FlHdd_normal.jpg,https://x.com/joeldr2410/status/1671667748819152896,tweet_id:1671667748819152896
Kyle Copeland has played The Lake House,@TheKyleCopeland,2023-06-21T23:53:30.000Z,False,"ExtractionExtraction 2Extraction 3: The Fall of Rake
Gray Man vs. RakeExtraction 4 (first one the Russo Brothers aren't associated with after 3 was supposed to be the last)
Rake (soft reboot, Hemsworth is old in this one)
The ExtractionTyler Rake (reboot with new actor)",0,0,0,695,[],[],[],https://pbs.twimg.com/profile_images/1848927059155812353/Iw1zLMmC_normal.jpg,https://x.com/TheKyleCopeland/status/1671667692162502657,tweet_id:1671667692162502657
Ty,@Tyhra_Renee,2023-06-21T23:53:22.000Z,False,Have y’all seen Extraction 2 yet? This is the most actiony action movie ever,0,0,0,95,[],[],[],https://pbs.twimg.com/profile_images/1691587600056823808/9L5qMlTg_normal.jpg,https://x.com/Tyhra_Renee/status/1671667657047789572,tweet_id:1671667657047789572
𝙶𝚒𝚜𝚎𝚕𝚕𝚎 all along//,@giselleb1234,2023-06-21T23:53:14.000Z,False,Everyone after watching extraction 2: ,0,0,0,248,[],[],"['\\U0001f44c\\U0001f3fd', '\\U0001f44f\\U0001f3fd']",https://pbs.twimg.com/profile_images/1777898865309446144/g7tsvReo_normal.jpg,https://x.com/giselleb1234/status/1671667623157813250,tweet_id:1671667623157813250
Big Ben,@Menlow99,2023-06-21T23:53:01.000Z,False,Extraction 2 was good except the end,0,0,0,388,[],[],[],https://pbs.twimg.com/profile_images/1836476305954492416/hp7Kmr3R_normal.jpg,https://x.com/Menlow99/status/1671667570632474624,tweet_id:1671667570632474624
Vanessa Mae,@banig19,2023-06-21T23:52:55.000Z,False, #Extraction2,0,0,0,160,['#Extraction2'],[],['\\U0001f494'],https://pbs.twimg.com/profile_images/1451786044454494217/6QClHtF__normal.jpg,https://x.com/banig19/status/1671667545856950272,tweet_id:1671667545856950272
Michael,@KitanoTheGod,2023-06-21T23:49:51.000Z,False,"Having only ever seen the first #JeepersCreepers, does the series really go from House of Wax (awesome movie btw), Mama (terrible), to freaking Extraction 2?",0,0,0,19,['#JeepersCreepers'],[],[],https://pbs.twimg.com/profile_images/1732244788311965696/wxvjMpL6_normal.jpg,https://x.com/KitanoTheGod/status/1671666773362618368,tweet_id:1671666773362618368
Charles,@The8thCurse,2023-06-21T23:47:39.000Z,False,"There is no wrong answer, I enjoy the over the top FAST & FURIOUS style spectacle of PATHAAN and the more grounded & gritty intensity of EXTRACTION 2.",0,0,0,348,[],[],[],https://pbs.twimg.com/profile_images/1520508937648414723/JyztFCM8_normal.jpg,https://x.com/The8thCurse/status/1671666219601068034,tweet_id:1671666219601068034
Tim Hendricks,@TR_Hendricks,2023-06-21T23:47:04.000Z,False,"#Extraction2 

That’s it. That’s the tweet. #Extraction2Netflix",0,0,0,555,"['#Extraction2', '#Extraction2Netflix']",[],[],https://pbs.twimg.com/profile_images/1715052747995615233/bA_nUCTp_normal.jpg,https://x.com/TR_Hendricks/status/1671666071177142275,tweet_id:1671666071177142275
توصيات أفلام و مسلسلات,@tws_55,2023-06-21T23:44:31.000Z,False,| توفر فلم الأكشن و الإثارة المرتقب [ Extraction 2 ] للمشاهدة عبر منصة نتفليكس.  - بعد نجاته بأعجوبة خلال مهمته في بنجلاديش، يعود تايلر ريك مع فريقه في مهمة جديدة أكثر صعوبة.,0,0,0,1.3K,[],[],['\\U0001f3a6'],https://pbs.twimg.com/profile_images/1505454808471384065/M-Mkxi3b_normal.jpg,https://x.com/tws_55/status/1671665430258241537,tweet_id:1671665430258241537
Just Jorey,@biggpoppa59,2023-06-21T23:44:14.000Z,False,Extraction 2 was ,0,0,0,21,[],[],"['\\U0001f525', '\\U0001f525', '\\U0001f525']",https://pbs.twimg.com/profile_images/1771686339349508096/rEalRoBZ_normal.jpg,https://x.com/biggpoppa59/status/1671665359282118658,tweet_id:1671665359282118658
Streaming Digitally,@streamdigital_,2023-06-21T23:43:20.000Z,False,"After wrapping up a successful run with Extraction 2, this second Tyler Rake movie has laid the perfect groundwork for Extraction 3!

Read more: https://tinyurl.com/4ey36xk8#Extraction2 #Netflix #Extraction #ChrisHemsworth #EntertainmentNews #NewNetflixReleases",0,0,0,61,"['#Extraction2', '#Netflix', '#Extraction', '#ChrisHemsworth', '#EntertainmentNews', '#NewNetflixReleases']",[],[],https://pbs.twimg.com/profile_images/1488835215548194819/DblrJ5Oe_normal.jpg,https://x.com/streamdigital_/status/1671665132332810241,tweet_id:1671665132332810241
Bo$$ Mami,@ceebaybay,2023-06-21T23:42:51.000Z,False,Extraction 2 is good!,0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1678593408988839937/usGxqPSg_normal.jpg,https://x.com/ceebaybay/status/1671665013189115906,tweet_id:1671665013189115906
Odii,@chikaodinaka_,2023-06-21T23:41:45.000Z,False,"Haven’t even had time to watch battle of the buka, used almost 4 days to watch extraction 2. Can’t recall the last time I watched Wura. What do you want from me? My blood?  ",0,0,0,139,[],['@Tejuadultface'],['\\U0001f612'],https://pbs.twimg.com/profile_images/1803746889008848896/LbL7KBQy_normal.jpg,https://x.com/chikaodinaka_/status/1671664734351785986,tweet_id:1671664734351785986
Mc Knight Wizz,@AremhenO,2023-06-21T23:41:15.000Z,False,Tag those friends #เรือดําน้ํา #Extraction2 #mcknightwizz,0,0,0,5.1K,"['#เรือดําน้ํา', '#Extraction2', '#mcknightwizz']",[],"['\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1799902255631519745/nxfQs51W_normal.jpg,https://x.com/AremhenO/status/1671664610070470657,tweet_id:1671664610070470657
Meridiab1,@dreamabtlife4,2023-06-21T23:41:07.000Z,False,Le film Extraction 2 vraiment je suis déçue je m’attendais à un truc de fou mais en fin de compte bofbof .. mais bon j’ai pas perdue 2h de ma vie puisque chris hemsworth est toujours un plaisir pour les yeux,0,0,0,317,[],[],[],https://pbs.twimg.com/profile_images/1834720483972915200/6cZfQSK8_normal.jpg,https://x.com/dreamabtlife4/status/1671664576679559169,tweet_id:1671664576679559169
Barimah,@bkod4,2023-06-21T23:40:55.000Z,False,"Eiiiih 
Awam nieee
The fight on the skyscraper glass#Extraction2",0,0,0,91,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1774149674649128961/vYubkVvF_normal.jpg,https://x.com/bkod4/status/1671664524636614658,tweet_id:1671664524636614658
ACE,@CANTABERRYHQ,2023-06-21T23:39:49.000Z,False,Extraction 2 mad asffff….better than John Wick,0,0,0,76,[],[],[],https://pbs.twimg.com/profile_images/1736421685107294208/3p4EHQIs_normal.jpg,https://x.com/CANTABERRYHQ/status/1671664247783268354,tweet_id:1671664247783268354
S H U T T E R H A P P Y J O S E,@iamjoecalixto,2023-06-21T23:39:16.000Z,False,Extraction 2 is literally just 2 hours of gun fire,0,0,0,352,[],[],[],https://pbs.twimg.com/profile_images/1801398682572701696/_c0nwddh_normal.jpg,https://x.com/iamjoecalixto/status/1671664110478692353,tweet_id:1671664110478692353
NOMΛD,@HyprboreanWulf,2023-06-21T23:36:42.000Z,False,Tyler Rake is special forces version of John Wick#Extraction2,0,0,0,352,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1833957130962890752/rkZumUNy_normal.jpg,https://x.com/HyprboreanWulf/status/1671663463880433664,tweet_id:1671663463880433664
Iain Hay,@iainhay82,2023-06-21T23:34:41.000Z,False,"There's a thing Hemsworth does to someone's hand in #Extraction2 
which is possibly the nastiest things I've seen in action movies, and I've seen ""The Night Comes For Us"". 

Highly recommended, lots of things go BOOM! and people go SPLAT! Watched it twice already.",0,0,0,685,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1668449668403953665/6J0iHiNd_normal.jpg,https://x.com/iainhay82/status/1671662956335988736,tweet_id:1671662956335988736
Android Adult Games | Lewdocean.com,@LewdOcean,2023-06-21T23:34:31.000Z,False,My Ex-Future Family Game Download with Premium Mod [tremmiGames]https://lewdocean.com/my-ex-future-family-game-download/…#Extraction2 #DeepikaPadukone #LeoFirstLook #LeoFilm #Terebin #titanic #Burnol #DelhiMetro,0,0,0,1.6K,"['#Extraction2', '#DeepikaPadukone', '#LeoFirstLook', '#LeoFilm', '#Terebin', '#titanic', '#Burnol', '#DelhiMetro']",[],[],https://pbs.twimg.com/profile_images/1651729212578103301/i6bSFBd5_normal.jpg,https://x.com/LewdOcean/status/1671662913751326720,tweet_id:1671662913751326720
Nancy Kiguru,@NKiguru,2023-06-21T23:33:16.000Z,False,Watching #Extraction2 on  ,0,0,0,99,['#Extraction2'],['@netflix'],"['\\U0001f44f\\U0001f3fe', '\\U0001f44f\\U0001f3fe']",https://pbs.twimg.com/profile_images/1785321434132209664/REOnht6A_normal.jpg,https://x.com/NKiguru/status/1671662599753146368,tweet_id:1671662599753146368
Kenneth,@comefollowmek3,2023-06-21T23:33:01.000Z,False,Extraction 2 is a cold ass movie,0,0,0,90,[],[],[],https://pbs.twimg.com/profile_images/1680720385019453440/BF2JAu4a_normal.jpg,https://x.com/comefollowmek3/status/1671662535076872202,tweet_id:1671662535076872202
shotime,@thedudesuave116,2023-06-21T23:32:40.000Z,False,#Extraction2 the governor just got killed with a rake,0,0,0,17,['#Extraction2'],[],[],https://pbs.twimg.com/profile_images/1320699732814082048/kIffporB_normal.jpg,https://x.com/thedudesuave116/status/1671662450486157312,tweet_id:1671662450486157312
SoKoGa,@realsokoga,2023-06-21T23:30:23.000Z,False,This extraction 2 mad sha,0,0,0,32,[],[],[],https://pbs.twimg.com/profile_images/1831010269855682561/Je6SPp1H_normal.jpg,https://x.com/realsokoga/status/1671661875409432576,tweet_id:1671661875409432576
Netflix,@netflix,2023-06-21T23:30:00.000Z,True,Extraction 2 - BTS Footage vs. The Final Stunt,0,0,0,420K,[],[],[],https://pbs.twimg.com/profile_images/1792606763340169216/XXYWIqyY_normal.jpg,https://x.com/netflix/status/1671661776738594816,tweet_id:1671661776738594816
AJ Alonzo,@AJTAlonzo,2023-06-21T23:28:16.000Z,False,Extraction 2 felt better than John Wick 4,0,0,0,40,[],[],[],https://pbs.twimg.com/profile_images/1678238458903662592/FFHNyXM5_normal.jpg,https://x.com/AJTAlonzo/status/1671661342376464385,tweet_id:1671661342376464385
iWalrus,@AleArteagaP,2023-06-21T23:27:13.000Z,False,Vemos qué tal #Extraction2  #MisionDeRescate2,0,0,0,73,"['#Extraction2', '#MisionDeRescate2']",[],[],https://pbs.twimg.com/profile_images/1710299224917540864/0WMX24uv_normal.jpg,https://x.com/AleArteagaP/status/1671661078118379522,tweet_id:1671661078118379522
Gadea,@Gadea,2023-06-21T23:25:17.000Z,True,U.S. Netflix   - Extraction 2 https://youtube.com/watch?v=Y274jZs5s7s… Chris Hemsworth is Tyler Rake in EXTRACTION 2,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/739373314225938432/hnUNVPVU_normal.jpg,https://x.com/Gadea/status/1671660591679787008,tweet_id:1671660591679787008
Philstar.com,@PhilstarNews,2023-06-21T23:25:00.000Z,True,"“Thor meets Kidlat,” Filipino actor Derek Ramsay said of his experience working briefly with Hollywood star Chris Hemsworth for a video commercial promoting Hemsworth’s Netflix original movie, “Extraction 2.”",0,0,0,2.5K,[],[],[],https://pbs.twimg.com/profile_images/1680030555533094914/SYPGXvTB_normal.png,https://x.com/PhilstarNews/status/1671660518459969536,tweet_id:1671660518459969536
