Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ingrid,@xngrxxd,2023-10-20T02:54:19.000Z,False,medo de assistir saltburn por ele e o cara ter 5 minutos de tela,0,0,0,205,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1760084016248553473/caiXDmj3_x96.jpg,https://x.com/xngrxxd/status/1715199738876755997,tweet_id:1715199738876755997
Movie Reviews By JT,@moviere09350416,2023-10-20T02:44:43.000Z,True,new trailer for #Saltburn in select theaters on November 17  wide on November 22,0,0,0,190,['#Saltburn'],[],[],https://pbs.twimg.com/profile_images/1852427257333137411/fkmp1HNz_x96.jpg,https://x.com/moviere09350416/status/1715197322898845941,tweet_id:1715197322898845941
Lautael,@ThoseGayLads,2023-10-20T02:44:17.000Z,False,What do you mean Saltburn comes out in a whole month where I am argh,0,0,0,283,[],[],[],https://pbs.twimg.com/profile_images/1688188647575580672/fOrJglAb_x96.jpg,https://x.com/ThoseGayLads/status/1715197216619466975,tweet_id:1715197216619466975
montoncito de nubes,@surco_verde,2023-10-20T02:40:22.000Z,False,Muero por ver Saltburn!!! Ya vieron el segundo trailer?,0,0,0,131,[],[],[],https://pbs.twimg.com/profile_images/1774573307129450496/oDPMbW7t_x96.jpg,https://x.com/surco_verde/status/1715196230848930239,tweet_id:1715196230848930239
Lisa Copple,@okayfineitslisa,2023-10-20T02:39:55.000Z,False,"Welp, I secured my ticket for Saltburn. (This is my red flag.)",0,0,0,89,[],[],['\\U0001f6a9'],https://pbs.twimg.com/profile_images/1854871850054201344/JUMTA2L1_x96.jpg,https://x.com/okayfineitslisa/status/1715196116696748195,tweet_id:1715196116696748195
Cristina Rodríguez,@CristinaR_2177,2023-10-20T02:35:13.000Z,False,"I didn’t get the big fuss over Kissing Booth Jacob Elordi or Euphoria Jacob Elordi, or even Priscilla’s Jacob Elordi but I REALLY get it with  SALTBURN Jacob Elordi",0,0,0,366,[],[],[],https://pbs.twimg.com/profile_images/1727392542776287232/sSC3GDOA_x96.jpg,https://x.com/CristinaR_2177/status/1715194932749586759,tweet_id:1715194932749586759
Stephen Wunderlich,@StephenWunderl4,2023-10-20T02:34:26.000Z,False,'Saltburn' trailer: Shirtless Jacob Elordi turns up the heat,0,0,0,405,[],[],[],https://pbs.twimg.com/profile_images/1710831934128168960/RCFkNGFz_x96.jpg,https://x.com/StephenWunderl4/status/1715194737605644725,tweet_id:1715194737605644725
tamquam alter idem,@melophoobia,2023-10-20T02:30:41.000Z,False,saltburn é tão these violent delights coded,0,0,0,66,[],[],[],https://pbs.twimg.com/profile_images/1606089340614049792/CnIdaV4o_x96.jpg,https://x.com/melophoobia/status/1715193792452505689,tweet_id:1715193792452505689
val,@poemarojo,2023-10-20T02:19:57.000Z,False,la fiesta que va a ser ver saltburn,0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1858689215690690560/njLa0LTY_x96.jpg,https://x.com/poemarojo/status/1715191092184760689,tweet_id:1715191092184760689
Leo Gavitt | レオ | 23 | he/him | #blacklivesmatter,@leogavitt01,2023-10-20T02:14:56.000Z,False,Very good. Incredibly disturbing. Kinda funny? #Saltburn,0,0,0,177,['#Saltburn'],[],[],https://pbs.twimg.com/profile_images/1809007272552546305/PZE-mWqk_x96.jpg,https://x.com/leogavitt01/status/1715189828550095044,tweet_id:1715189828550095044
Tubby,@prozacck,2023-10-20T02:14:30.000Z,False,"Saltburn is CRAZY. 

Has everything that’s good about Promising Young Woman and turns it up to 11.",0,0,0,938,[],[],[],https://pbs.twimg.com/profile_images/1813012740404846592/pIQs22_D_x96.jpg,https://x.com/prozacck/status/1715189720110522717,tweet_id:1715189720110522717
Cinergia,@cinergiaonline,2023-10-20T02:13:53.000Z,True," Barry Keoghan, Jacob Elordi, Rosamund Pike, Archie Madekwe, Alison Oliver y Ewan Mitchell en el trailer de #SaltBurn de Emerald Fennell. ",0,0,0,787,['#SaltBurn'],[],"['\\U0001f3ac', '\\U0001f447']",https://pbs.twimg.com/profile_images/1554559587214409729/llIk-Usc_x96.jpg,https://x.com/cinergiaonline/status/1715189562408862097,tweet_id:1715189562408862097
♡madam sandler♡,@VlRTUALBOY,2023-10-20T02:12:04.000Z,False,FUCKING LOOOOOVEEEEEDDDDDD SALTBURN!!!!!!!!!,0,0,0,2.3K,[],[],[],https://pbs.twimg.com/profile_images/1857820686586109952/SGVlTcFg_x96.jpg,https://x.com/VlRTUALBOY/status/1715189105514996148,tweet_id:1715189105514996148
fofoquinhas em tar valon,@eupedrosilveira,2023-10-20T02:11:44.000Z,False,queria que saltburn saisse logo,0,0,0,90,[],[],[],https://pbs.twimg.com/profile_images/1660265577485594626/HgnA1EA2_x96.jpg,https://x.com/eupedrosilveira/status/1715189025026240777,tweet_id:1715189025026240777
Trevor,@tmtalksmovies,2023-10-20T02:00:57.000Z,False,"SALTBURN IS EVERYTHING!!! A delicious film that is unafraid to take the boldest swing possible at every turn. The film transforms before your eyes as character’s desires are revealed. The third act left my jaw on the floor. Also, it looks GORGEOUS (in more ways than one).",0,0,0,7.6K,[],[],[],https://pbs.twimg.com/profile_images/1819195840562376704/RyLY2zGl_x96.jpg,https://x.com/tmtalksmovies/status/1715186310334263333,tweet_id:1715186310334263333
DeRocanrol.com.mx,@derocanrol,2023-10-20T02:00:08.000Z,False,"Dirigida por el ganador del Oscar Emerald Fennell, el 17 de noviembre llega a cines ""Saltburn"", thriller protagonizado por Barry Keoghan, Jacob Elordi y Rosamund Pikehttps://buff.ly/45Ebfmo #DeRocanrol",0,0,0,252,['#DeRocanrol'],[],[],https://pbs.twimg.com/profile_images/1650332367163392003/6k_HIXEC_x96.jpg,https://x.com/derocanrol/status/1715186105107013983,tweet_id:1715186105107013983
L,@lukeanth1,2023-10-20T01:58:24.000Z,False,Saltburn looks amazing ,0,0,0,449,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1842974312610791424/zZJANQKv_x96.jpg,https://x.com/lukeanth1/status/1715185669696373184,tweet_id:1715185669696373184
rissa,@billskarsgards,2023-10-20T01:55:32.000Z,False,worst day ever goodnight to ewan and his one second in saltburn only,0,0,0,226,[],[],[],https://pbs.twimg.com/profile_images/1815056773533081600/-4e0K2aA_x96.jpg,https://x.com/billskarsgards/status/1715184945961050317,tweet_id:1715184945961050317
ciarra,@MIDS0MM4R,2023-10-20T01:53:37.000Z,False,i just know ewan is gonna have like 2 minutes of screen time in saltburn ,0,0,0,74,[],[],['\\U0001f494'],https://pbs.twimg.com/profile_images/1855001873733824512/Yrfg32oq_x96.jpg,https://x.com/MIDS0MM4R/status/1715184464299450724,tweet_id:1715184464299450724
Red Flag,@RedFlagNYC,2023-10-20T01:49:13.000Z,False,This is an anti-Saltburn tweet,0,0,0,141,[],[],[],https://pbs.twimg.com/profile_images/1753692095750008832/XKC9o-b__x96.jpg,https://x.com/RedFlagNYC/status/1715183357632409985,tweet_id:1715183357632409985
Emily Ward,@omgitsemilyward,2023-10-20T01:48:57.000Z,False,Saltburn is one of the craziest fucking films I’ve ever seen (affectionately),0,0,0,3.2K,[],[],[],https://pbs.twimg.com/profile_images/1622659025576796160/BI1eWOiK_x96.jpg,https://x.com/omgitsemilyward/status/1715183289953140897,tweet_id:1715183289953140897
Resa Kast,@resakkur,2023-10-20T01:48:17.000Z,False,Jacob Elordi is taking an oscar nom next season for sure either Priscilla or Saltburn he’s having his moment,0,0,0,170,[],[],[],https://pbs.twimg.com/profile_images/1620887215508176896/-swJzFNA_x96.jpg,https://x.com/resakkur/status/1715183121052618984,tweet_id:1715183121052618984
Resa Kast,@resakkur,2023-10-20T01:47:39.000Z,False,Saltburn is SO fucking good Emerald Fennell will always be a legend won the Chi int film fest visionary award for good reason,0,0,0,78,[],[],[],https://pbs.twimg.com/profile_images/1620887215508176896/-swJzFNA_x96.jpg,https://x.com/resakkur/status/1715182961501282635,tweet_id:1715182961501282635
H.A.L. 9000,@tamilhollywood2,2023-10-20T01:36:04.000Z,True,"புது போஸ்டர் 'SALTBURN'

எங்கயோ இந்த போஸ்டரை பாத்த மாதிரி இருக்கே ",0,0,0,12K,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1664511856223059973/M1iEGd8v_x96.jpg,https://x.com/tamilhollywood2/status/1715180046665875863,tweet_id:1715180046665875863
Abel Cervantes (El corpiño de Xalapa),@abeelcervantes,2023-10-20T01:29:32.000Z,False,"Me urge ver saltburn, Priscilla y all of us strangers",0,0,0,192,[],[],[],https://pbs.twimg.com/profile_images/1859026700140462080/5JXJfMQ5_x96.jpg,https://x.com/abeelcervantes/status/1715178404431962261,tweet_id:1715178404431962261
thais☭,@mermaidcinnamon,2023-10-20T01:21:40.000Z,False,"Esperando ansiosamente p/Saltburn 
All of us strangers
Priscilla 
May december

Saírem logo na locadora mundial",0,0,0,94,[],[],[],https://pbs.twimg.com/profile_images/1854290631142596619/Ua_bzceV_x96.jpg,https://x.com/mermaidcinnamon/status/1715176423198011874,tweet_id:1715176423198011874
moradora do jambalaya ocean drive,@xkwakx,2023-10-20T01:15:20.000Z,True,calma cara é só uma calça e uma blusa com uns acessórios,0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1861962383888879616/_7K6-SdS_x96.jpg,https://x.com/xkwakx/status/1715174828498464996,tweet_id:1715174828498464996
Waiting some one Ex,@priority_to_you,2023-10-20T01:09:44.000Z,False,"‘SALTBURN’ a film by Emerald Fennell.  In select theaters November 17, everywhere Thanksgiving.",0,0,0,120,[],[],[],https://pbs.twimg.com/profile_images/1712570664614584320/rGQx8bbL_x96.jpg,https://x.com/priority_to_you/status/1715173421229994025,tweet_id:1715173421229994025
LC,@LucasCasaletto,2023-10-20T00:50:31.000Z,False,"Just let me watch Saltburn already. I mean, c'mon.",0,0,0,151,[],[],[],https://pbs.twimg.com/profile_images/1821893610817597441/OPmRXVpG_x96.jpg,https://x.com/LucasCasaletto/status/1715168584589082641,tweet_id:1715168584589082641
,@bpllq,2023-10-20T00:46:45.000Z,False,sensing a very richard papen and henry winter vibe from saltburn actually,0,0,0,113,[],[],[],https://pbs.twimg.com/profile_images/1789694488790908928/uYnfzlTz_x96.jpg,https://x.com/bpllq/status/1715167635024036270,tweet_id:1715167635024036270
ger grayson,@skinthefool,2023-10-20T00:45:52.000Z,False,new trailer for saltburn... OH MY GOD,0,0,0,154,[],[],[],https://pbs.twimg.com/profile_images/1828874575704215553/8jPSE1sd_x96.jpg,https://x.com/skinthefool/status/1715167415858868310,tweet_id:1715167415858868310
Josh Blumenkranz,@JoshBlumenkranz,2023-10-20T00:43:10.000Z,False,I want a standalone film for Pamela because she kept me wondering the entire time. I have so many questions  #saltburn #careymulligan,0,0,0,923,"['#saltburn', '#careymulligan']",['@emeraldfennell'],[],https://pbs.twimg.com/profile_images/1843682555738107904/-Z8-EpFQ_x96.jpg,https://x.com/JoshBlumenkranz/status/1715166736457285652,tweet_id:1715166736457285652
CoveredGeekly,@CoveredGeekly,2023-10-20T00:41:58.000Z,True,"A new trailer for Emerald Fennell’s ‘SALTBURN’, starring Barry Keoghan, Jacob Elordi, Rosamund Pike, Archie Madekwe, Alison Oliver, and Ewan Mitchell, has been released.",0,0,0,1.2K,[],[],[],https://pbs.twimg.com/profile_images/1853124538667872256/TWzkb8b1_x96.jpg,https://x.com/CoveredGeekly/status/1715166432907145233,tweet_id:1715166432907145233
Sidra Actor,@alimarketingpk,2023-10-20T00:20:38.000Z,False,"Saltburn - Official Trailer (2023) Barry Keoghan, Jacob Elordi, Rosamund Pike - IGNhttps://alimarketing.pk/2023/10/20/saltburn-official-trailer-2023-barry-keoghan-jacob-elordi-rosamund-pike-ign/?feed_id=5267&_unique_id=6531c7d4479f2…",0,0,0,166,[],[],[],https://pbs.twimg.com/profile_images/1718208764673957888/PT5QdtSN_x96.jpg,https://x.com/alimarketingpk/status/1715161063698862348,tweet_id:1715161063698862348
