Title,Year,Genre,Rating,Budget,Lifetime_Revenue
 Groundhog Day,1993,"Romance, Fantasy, Drama, Comedy",8.0,"$14,600,000.00","$71,100,000.00"
 Scrooge,1988,"Fantasy, Comedy, Drama",7.5,"$32,000,000.00","$60,300,000.00"
 Jumanji: Welcome to the Jungle,2017,"Adventure, Comedy, Fantasy",6.9,"$90,000,000.00","$995,339,117.00"
Terrifier 2,2022,"Horror, Thriller",6.1,"$250,000.00","$15,741,780.00"
 Notting Hill,1999,"Romance, Comedy",7.2,"$42,000,000.00","$363,889,678.00"
 Logan,2017,"Action, Drama, Science Fiction",8.1,"$97,000,000.00","$619,021,436.00"
 Grease,1978,"Romance, Comedy",7.2,"$6,000,000.00","$396,271,103.00"
 Ferris Bueller's Day Off,1986,Comedy,7.8,"$6,000,000.00","$70,100,000.00"
Paddington 2,2017,"Adventure, Comedy, Family",7.8,"$40,000,000.00","$227,300,000.00"
 Batman,2016,"Action, Adventure, Fantasy",7.5,"$250,000,000.00","$874,362,803.00"
 City of Angels,1996,"Action, Fantasy, Thriller",6.7,"$13,000,000.00","$25,317,287.00"
 Pleasure,2021,Drama,6.4,"$1,800,000.00","$393,824.00"
M3GAN,2022,"Science Fiction, Horror",6.4,"$12,000,000.00","$181,796,517.00"
 Beverly Hills Cop III,1994,"Action, Comedy, Crime",5.5,"$50,000,000.00","$119,208,989.00"
 A Time to Kill,1996,"Crime, Drama, Thriller",7.5,"$40,000,000.00","$152,266,007.00"
 Rogue One: A Star Wars Story,2016,"Action, Adventure, Science Fiction",7.8,"$200,000,000.00","$1,056,057,273.00"
 The Virgin Suicides,2000,Drama,7.2,"$6,000,000.00","$10,409,377.00"
 Doctor Sleep,2019,"Horror, Thriller, Fantasy",7.3,"$45,000,000.00","$72,381,712.00"
 A Star Is Born,1937,"Drama, Romance",7.6,"$1,200,000.00","$2,370,000.00"
 The Day After Tomorrow,2004,"Action, Adventure, Science Fiction, Thriller",6.5,"$125,000,000.00","$552,639,571.00"
 Mad Max,2024,"Action, Science Fiction, Adventure",6.8,"$170,000,000.00","$173,775,791.00"
 Payback,1999,"Action, Drama, Crime",7.1,"$90,000,000.00","$161,626,121.00"
 The Conjuring,2013,"Horror, Thriller",7.5,"$13,000,000.00","$320,415,166.00"
Daddy's Home 2,2017,Comedy,6.0,"$69,000,000.00","$180,613,180.00"
 Moana,2024,"Animation, Adventure, Family, Comedy",7.6,"$150,000,000.00","$600,055,655.00"
 The Lovely Bones,2009,"Fantasy, Drama",6.6,"$65,000,000.00","$93,600,000.00"
 War for the Planet of the Apes,2017,"Drama, Science Fiction, War",7.4,"$150,000,000.00","$490,719,763.00"
 The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",7.8,"$150,000,000.00","$335,800,000.00"
 A Bronx Tale,1993,"Drama, Crime",7.8,"$22,000,000.00","$17,287,898.00"
 Star Wars: Episode VII - The Force Awakens,2015,"Adventure, Action, Science Fiction",7.8,"$245,000,000.00","$2,068,223,624.00"
 The King's Man,2021,"Action, Adventure, Thriller",6.3,"$100,000,000.00","$125,900,000.00"
 Trainspotting,1996,"Drama, Crime",8.1,"$4,000,000.00","$72,000,000.00"
 Total Recall,2012,"Action, Science Fiction, Thriller",7.5,"$125,000,000.00","$198,800,000.00"
 Femme,1990,"Action, Thriller",7.8,"$8,538,703.00","$5,000,000.00"
 Captain Marvel,2019,"Action, Adventure, Science Fiction",6.8,"$152,000,000.00","$1,131,416,446.00"
 The Reader,2008,"Drama, Romance",7.6,"$32,000,000.00","$108,902,486.00"
 Nocturnal Animals,2016,"Drama, Thriller",7.5,"$22,500,000.00","$29,300,000.00"
 Ernest Saves Christmas,1988,"Comedy, Family",5.7,"$6,000,000.00","$28,202,109.00"
 Rise of the Guardians,2012,"Animation, Family, Fantasy, Action, Adventure",7.2,"$145,000,000.00","$306,941,670.00"
 Zootopia,2016,"Animation, Adventure, Family, Comedy",8.0,"$150,000,000.00","$1,023,784,195.00"
 Venom,2024,"Action, Science Fiction, Adventure",6.6,"$120,000,000.00","$468,513,700.00"
 Haunted Mansion,2003,"Thriller, Fantasy, Comedy, Family, Mystery",6.1,"$90,000,000.00","$182,290,266.00"
 Office Space,1999,Comedy,7.6,"$10,000,000.00","$12,800,000.00"
 World War Z,2013,"Action, Horror, Science Fiction, Thriller",7.0,"$200,000,000.00","$531,865,000.00"
 Black Panther,2018,"Action, Adventure, Science Fiction",7.3,"$200,000,000.00","$1,349,926,083.00"
 Armageddon,1998,"Action, Thriller, Science Fiction, Adventure",6.7,"$140,000,000.00","$553,799,566.00"
 Us,2024,"Romance, Drama",6.8,"$25,000,000.00","$350,018,266.00"
 Ready Player One,2018,"Adventure, Action, Science Fiction",7.4,"$175,000,000.00","$607,274,134.00"
 Little Children,2006,"Drama, Romance",7.5,"$26,000,000.00","$14,821,658.00"
 Paddington,2014,"Comedy, Adventure, Family",7.3,"$55,000,000.00","$259,207,227.00"
 Insidious: The Red Door,2023,"Horror, Thriller",5.5,"$16,000,000.00","$189,086,877.00"
 Hot Fuzz,2007,"Crime, Action, Comedy",7.8,"$12,000,000.00","$80,600,000.00"
 The House That Jack Built,2018,"Drama, Horror, Crime, Thriller",6.8,"$9,800,000.00","$5,566,776.00"
 The Incredibles,2004,"Action, Adventure, Animation, Family",8.0,"$92,000,000.00","$631,442,092.00"
 Gone with the Wind,1939,"Drama, War, Romance",8.2,"$4,000,000.00","$402,352,579.00"
 Gangs of New York,2002,"Drama, History, Crime",7.5,"$100,000,000.00","$193,800,000.00"
 Event Horizon,1997,"Horror, Science Fiction, Mystery",6.6,"$60,000,000.00","$26,700,000.00"
 Airplane!,1980,Comedy,7.7,"$3,500,000.00","$83,453,539.00"
" Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama",8.1,"$15,000,000.00","$162,729,321.00"
 Margin Call,2011,"Thriller, Drama",7.1,"$3,500,000.00","$19,504,039.00"
 Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction",6.7,"$250,000,000.00","$859,102,154.00"
 The Tomorrow War,2021,"Action, Science Fiction, Adventure",6.6,"$200,000,000.00","$14,400,000.00"
 Bohemian Rhapsody,2018,"Music, Drama",7.9,"$52,000,000.00","$918,355,943.00"
 Star Wars: Episode V - The Empire Strikes Back,1980,"Adventure, Action, Science Fiction",8.7,"$18,000,000.00","$538,400,000.00"
 Frequency,2000,"Science Fiction, Thriller",7.4,"$31,000,000.00","$68,106,245.00"
 Looper,2012,"Action, Thriller, Science Fiction",7.4,"$30,000,000.00","$47,042,000.00"
 Showgirls,1995,Drama,5.0,"$45,000,000.00","$20,350,754.00"
 The Commuter,2018,"Action, Thriller, Mystery",6.3,"$30,000,000.00","$119,942,387.00"
" To Sir, with Love",1967,Drama,7.6,"$625,000.00","$42,432,803.00"
 Man on Fire,2004,"Action, Drama, Thriller",7.7,"$70,000,000.00","$130,300,000.00"
 Crazy Rich Asians,2018,"Comedy, Romance",6.9,"$30,000,000.00","$238,539,198.00"
 Moonfall,2022,"Science Fiction, Adventure, Action",5.1,"$146,000,000.00","$67,319,703.00"
 The Little Things,2021,"Drama, Crime, Thriller",6.3,"$30,000,000.00","$29,942,746.00"
 The Firm,1993,"Drama, Mystery, Thriller",6.9,"$42,000,000.00","$270,248,367.00"
 Mamma Mia! Here We Go Again,2018,"Comedy, Romance",6.6,"$75,000,000.00","$395,100,000.00"
 Clueless,1995,"Comedy, Romance, Drama",6.9,"$12,000,000.00","$56,631,572.00"
John Wick: Chapter 2,2017,"Action, Thriller, Crime",7.4,"$40,000,000.00","$171,539,887.00"
 The Death of Stalin,2017,"Comedy, Drama, History",7.2,"$13,000,000.00","$24,600,000.00"
 Nightcrawler,2014,"Crime, Drama, Thriller",7.8,"$8,500,000.00","$50,300,000.00"
 Mission: Impossible II,2006,"Adventure, Action, Thriller",6.1,"$150,000,000.00","$398,479,497.00"
 The Proposal,2009,"Comedy, Romance, Drama",6.7,"$40,000,000.00","$317,400,000.00"
 Starship Troopers,1997,"Adventure, Action, Thriller, Science Fiction",7.3,"$105,000,000.00","$121,214,377.00"
 V for Vendetta,2006,"Action, Thriller, Science Fiction",8.2,"$54,000,000.00","$132,511,035.00"
 Finding Nemo,2003,"Animation, Family",8.2,"$94,000,000.00","$940,335,536.00"
 White Noise,2005,"Drama, Horror, Thriller",5.7,"$10,000,000.00","$91,196,419.00"
 Before Sunrise,1995,"Drama, Romance",8.1,"$2,500,000.00","$5,987,386.00"
 Night at the Museum,2014,"Adventure, Comedy, Fantasy, Family",6.5,"$127,000,000.00","$363,204,635.00"
 Hell or High Water,2016,"Western, Crime, Drama",7.6,"$12,000,000.00","$37,600,000.00"
 Valerian and the City of a Thousand Planets,2017,"Adventure, Science Fiction, Action",6.4,"$177,200,000.00","$225,973,340.00"
 X-Men,2016,"Action, Adventure, Science Fiction, Fantasy",7.3,"$178,000,000.00","$543,934,787.00"
 Pitch Perfect,2015,"Comedy, Music",7.1,"$29,000,000.00","$287,144,079.00"
 The Legend of Tarzan,2016,"Fantasy, Action, Adventure",6.2,"$180,000,000.00","$356,743,061.00"
The Equalizer 2,2018,"Action, Thriller, Crime",6.7,"$62,000,000.00","$190,400,157.00"
 Rise of the Planet of the Apes,2011,"Thriller, Action, Drama, Science Fiction",7.6,"$93,000,000.00","$481,800,873.00"
 The Human Centipede (First Sequence),2009,Horror,4.4,"$2,000,000.00","$252,207.00"
 Maze Runner: The Scorch Trials,2015,"Science Fiction, Action, Thriller, Adventure",6.3,"$61,000,000.00","$312,296,056.00"
 Primal Fear,1996,"Crime, Drama, Mystery, Thriller",7.7,"$30,000,000.00","$102,600,000.00"
 Coco,2017,"Family, Animation, Music, Adventure",8.4,"$175,000,000.00","$807,816,196.00"
 Amadeus,1984,"History, Music, Drama",8.4,"$18,000,000.00","$90,000,000.00"
 Mystic River,2003,"Thriller, Crime, Drama, Mystery",7.9,"$25,000,000.00","$156,800,000.00"
 WALL·E,2008,"Animation, Family, Science Fiction",8.4,"$180,000,000.00","$521,311,860.00"
 Alice in Wonderland,2010,"Family, Fantasy, Adventure",6.4,"$200,000,000.00","$1,025,467,110.00"
 American Gangster,2007,"Drama, Crime",7.8,"$100,000,000.00","$266,500,000.00"
 Sixteen Candles,1984,"Comedy, Romance",7.0,"$6,500,000.00","$23,686,027.00"
 Focus,2015,"Romance, Comedy, Crime",6.6,"$50,100,000.00","$153,962,963.00"
 Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Adventure, Action, Fantasy",6.5,"$230,000,000.00","$795,900,000.00"
 A Nightmare on Elm Street,1984,Horror,7.4,"$1,800,000.00","$57,004,513.00"
 Sleeping Beauty,1959,"Fantasy, Animation, Romance, Family",5.3,"$6,000,000.00","$51,600,000.00"
 Caligula,1979,"Drama, History",5.3,"$17,500,000.00","$23,400,000.00"
 Remember the Titans,2000,Drama,7.8,"$30,000,000.00","$136,700,000.00"
 The Black Phone,2022,"Horror, Thriller",6.9,"$16,000,000.00","$161,440,742.00"
 Captain America: The First Avenger,2011,"Action, Adventure, Science Fiction",6.9,"$140,000,000.00","$370,569,774.00"
 The Witches of Eastwick,1987,"Comedy, Fantasy, Horror",6.5,"$22,000,000.00","$63,766,510.00"
 The Invisible Man,2020,"Thriller, Science Fiction, Horror",7.1,"$7,000,000.00","$144,492,724.00"
 Dawn of the Planet of the Apes,2014,"Science Fiction, Action, Drama, Thriller",7.6,"$170,000,000.00","$710,644,566.00"
 Wild Things,1998,"Mystery, Thriller, Drama",6.6,"$20,000,000.00","$67,200,000.00"
500 Days of Summer,2009,"Comedy, Drama, Romance",7.7,"$7,500,000.00","$60,781,545.00"
 The Devil's Advocate,1997,"Drama, Mystery, Thriller, Horror",7.5,"$57,000,000.00","$153,000,000.00"
 The Hunt for Red October,1990,"Action, Adventure, Thriller",7.5,"$30,000,000.00","$200,500,000.00"
 Scary Movie,2000,Comedy,6.3,"$19,000,000.00","$278,019,771.00"
 Nightmare Alley,2021,"Crime, Drama, Thriller",7.0,"$60,000,000.00","$39,629,195.00"
 Terrifier,2024,"Horror, Thriller",5.6,"$2,000,000.00","$89,012,340.00"
2 Fast 2 Furious,2003,"Action, Crime, Thriller",5.9,"$76,000,000.00","$236,350,661.00"
Wonder Woman 1984,2020,"Action, Adventure, Fantasy",5.4,"$200,000,000.00","$169,601,036.00"
 The Shape of Water,2017,"Drama, Fantasy, Romance",7.3,"$19,500,000.00","$195,300,000.00"
 Mamma Mia!,2008,"Comedy, Romance",6.5,"$52,000,000.00","$609,841,637.00"
 The Hobbit: The Desolation of Smaug,2013,"Fantasy, Adventure, Action",7.8,"$250,000,000.00","$958,400,000.00"
 How to Train Your Dragon,2010,"Fantasy, Adventure, Animation, Family",8.1,"$165,000,000.00","$494,879,471.00"
 Children of Men,2006,"Drama, Action, Thriller, Science Fiction",7.9,"$76,000,000.00","$70,595,464.00"
 In Bruges,2008,"Comedy, Drama, Crime",7.9,"$15,000,000.00","$34,533,783.00"
 Scooby-Doo,2002,"Mystery, Adventure, Comedy",5.3,"$84,000,000.00","$275,650,703.00"
 Beverly Hills Cop II,1987,"Action, Comedy, Crime",6.5,"$28,000,000.00","$299,965,036.00"
 Stargate,1994,"Action, Adventure, Science Fiction",7.0,"$55,000,000.00","$196,567,262.00"
 Terminator: Dark Fate,2019,"Science Fiction, Action, Adventure",6.2,"$185,000,000.00","$261,119,292.00"
 Thor: Ragnarok,2017,"Action, Adventure, Science Fiction",7.9,"$180,000,000.00","$855,301,806.00"
Gremlins 2: The New Batch,1990,"Comedy, Horror, Fantasy",6.4,"$50,000,000.00","$41,482,207.00"
 Plane,2024,"Science Fiction, Adventure, Action",6.5,"$160,000,000.00","$397,378,150.00"
 Spotlight,2015,"Drama, History",8.1,"$20,000,000.00","$98,690,254.00"
 Star Wars: Episode III - Revenge of the Sith,2005,"Adventure, Action, Science Fiction",7.6,"$113,000,000.00","$850,000,000.00"
 Fantastic Mr. Fox,2009,"Adventure, Animation, Comedy, Family",7.9,"$40,000,000.00","$46,471,023.00"
 Dumb and Dumber,1994,Comedy,7.3,"$16,000,000.00","$247,275,374.00"
 Click,2006,"Comedy, Drama, Fantasy",6.4,"$82,500,000.00","$240,685,326.00"
 Live Free or Die Hard,2007,"Action, Thriller",7.1,"$110,000,000.00","$383,531,464.00"
 Red Sparrow,2018,"Thriller, Mystery",6.6,"$69,000,000.00","$151,572,634.00"
12 Years a Slave,2013,"Drama, History",8.1,"$20,000,000.00","$187,000,000.00"
 Galaxy Quest,1999,"Comedy, Science Fiction, Adventure",7.4,"$45,000,000.00","$90,683,916.00"
 The Patriot,2000,"Drama, History, War, Action",7.2,"$110,000,000.00","$215,294,342.00"
 Martyrs,2008,"Horror, Drama, Thriller",7.0,"$6,500,000.00","$1,100,000.00"
 The Last of the Mohicans,1992,"Action, History, Romance, War",7.7,"$40,000,000.00","$75,505,856.00"
 Spider-Man: Homecoming,2017,"Action, Adventure, Science Fiction, Drama",7.4,"$175,000,000.00","$880,166,924.00"
 Interview with the Vampire: The Vampire Chronicles,1994,"Horror, Drama, Fantasy",7.5,"$60,000,000.00","$223,664,608.00"
 Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy, Action",7.4,"$200,000,000.00","$1,065,700,000.00"
 Gran Torino,2008,Drama,8.1,"$33,000,000.00","$270,000,000.00"
 Sucker Punch,2011,"Action, Fantasy, Thriller",6.0,"$82,000,000.00","$89,792,502.00"
 It Follows,2015,"Horror, Mystery",6.8,"$2,300,000.00","$23,374,076.00"
 Creed III,2023,"Drama, Action",6.7,"$75,000,000.00","$275,300,000.00"
 Star Trek,1979,"Science Fiction, Adventure, Mystery",7.9,"$45,000,000.00","$139,346,243.00"
 The Texas Chain Saw Massacre,1974,Horror,7.4,"$140,000.00","$30,900,000.00"
 For Your Eyes Only,1981,"Adventure, Action, Thriller",6.7,"$28,000,000.00","$195,300,000.00"
 Sunshine,2004,"Science Fiction, Drama, Romance",7.2,"$20,000,000.00","$72,258,126.00"
 Book Club: The Next Chapter,2023,"Comedy, Romance",5.6,"$20,000,000.00","$27,849,137.00"
 Erin Brockovich,2000,Drama,7.4,"$52,000,000.00","$256,271,286.00"
 Frozen II,2019,"Family, Animation, Adventure, Comedy, Fantasy",6.8,"$150,000,000.00","$1,453,683,476.00"
 The World Is Not Enough,1999,"Adventure, Action, Thriller",6.4,"$135,000,000.00","$361,832,400.00"
 The Kill Room,2023,"Comedy, Crime",5.4,"$50,000,000.00","$476,375.00"
 Legally Blonde,2001,"Comedy, Romance",6.4,"$18,000,000.00","$141,774,679.00"
 Sky High,2005,"Adventure, Comedy, Family",6.3,"$35,000,000.00","$86,369,815.00"
 The Pope's Exorcist,2023,"Horror, Thriller",6.1,"$18,000,000.00","$76,987,621.00"
 Everest,2015,"Adventure, Drama, History",7.1,"$55,000,000.00","$203,427,584.00"
 Dark Waters,2019,"Drama, Thriller",7.6,"$20,000,000.00","$13,601,384.00"
 Freud's Last Session,2023,Drama,8.5,"$10,000,000.00","$1,697,993.00"
 Tomorrowland,2015,"Adventure, Family, Mystery, Science Fiction",6.4,"$190,000,000.00","$209,200,000.00"
 School of Rock,2003,"Comedy, Music",7.2,"$35,000,000.00","$131,100,000.00"
 Brokeback Mountain,2005,"Drama, Romance",7.7,"$14,000,000.00","$178,043,761.00"
 Warrior,2024,"Action, Adventure, Crime, Thriller",8.1,"$38,400,000.00","$95,399,186.00"
 Malignant,2021,"Horror, Mystery",6.2,"$40,000,000.00","$34,891,791.00"
 Dirty Dancing,1987,"Drama, Music, Romance",7.0,"$6,000,000.00","$214,577,242.00"
 Talladega Nights: The Ballad of Ricky Bobby,2006,Comedy,6.6,"$72,500,000.00","$163,000,000.00"
 Patriot Games,1992,"Drama, Action, Thriller, Crime",6.8,"$45,000,000.00","$178,100,000.00"
 Star Wars: Episode VIII - The Last Jedi,2017,"Adventure, Action, Science Fiction",6.9,"$200,000,000.00","$1,332,698,830.00"
 The Karate Kid,2010,"Action, Adventure, Drama, Family",7.3,"$40,000,000.00","$359,126,022.00"
 National Lampoon's European Vacation,1985,"Adventure, Comedy, Romance",6.2,"$17,000,000.00","$49,400,000.00"
 The French Dispatch,2021,"Drama, Comedy",7.1,"$25,000,000.00","$46,333,545.00"
 Steel Magnolias,1989,"Comedy, Drama, Romance",7.3,"$15,000,000.00","$95,904,091.00"
 Midway,2019,"Action, War, History",6.7,"$100,000,000.00","$127,400,000.00"
" Girl, Interrupted",1999,Drama,7.3,"$40,000,000.00","$48,350,205.00"
 Lone Survivor,2013,"War, Action, Drama",7.5,"$40,000,000.00","$149,295,601.00"
 White Chicks,2004,"Comedy, Crime",5.8,"$37,000,000.00","$113,100,000.00"
 The Descent,2005,"Adventure, Horror",7.2,"$3,500,000.00","$57,130,027.00"
Furious 7,2015,"Action, Thriller, Crime",7.1,"$190,000,000.00","$1,515,400,000.00"
 Conan the Barbarian,2011,"Adventure, Fantasy, Action",6.9,"$90,000,000.00","$63,523,283.00"
 Napoleon Dynamite,2004,Comedy,7.0,"$400,000.00","$46,118,097.00"
 The Town,2010,"Crime, Drama, Thriller",7.5,"$37,000,000.00","$154,026,136.00"
 Black Widow,2021,"Action, Adventure, Science Fiction",6.7,"$200,000,000.00","$379,751,131.00"
 Bridge to Terabithia,2007,"Adventure, Drama, Family",7.2,"$60,000,000.00","$137,587,063.00"
 Dredd,1995,Science Fiction,7.1,"$90,000,000.00","$113,493,481.00"
" Confess, Fletch",2022,"Comedy, Mystery, Crime",6.5,"$20,000,000.00","$500,000.00"
 EuroTrip,2004,Comedy,6.6,"$25,000,000.00","$22,605,153.00"
 The Accountant,2016,"Crime, Thriller, Drama",7.3,"$44,000,000.00","$155,160,045.00"
 Serenity,2005,"Science Fiction, Action, Adventure, Thriller",7.8,"$39,000,000.00","$38,869,464.00"
 Venom: Let There Be Carnage,2021,"Science Fiction, Action, Adventure",5.9,"$110,000,000.00","$506,863,592.00"
 Last Holiday,2006,"Adventure, Comedy, Drama",6.6,"$45,000,000.00","$38,399,961.00"
" Monsters, Inc.",2001,"Animation, Comedy, Family",8.1,"$115,000,000.00","$579,700,000.00"
 Birdman or (The Unexpected Virtue of Ignorance),2014,"Drama, Comedy",7.7,"$18,000,000.00","$103,215,094.00"
 The Game,2023,"Drama, Science Fiction, Action",7.7,"$100,000,000.00","$337,371,917.00"
 Knights of the Zodiac,2023,"Fantasy, Action, Adventure",4.4,"$60,000,000.00","$7,000,000.00"
 Just Go with It,2011,"Comedy, Romance",6.4,"$80,000,000.00","$214,945,591.00"
 The Boogeyman,2023,"Horror, Thriller, Mystery",5.9,"$41,900,000.00","$66,978,229.00"
 Licorice Pizza,2021,"Drama, Comedy, Romance",7.1,"$40,000,000.00","$33,276,075.00"
" The Cook, the Thief, His Wife & Her Lover",1989,"Crime, Drama",7.5,"$2,300,000.00","$7,724,701.00"
 Misery,1990,"Drama, Thriller",7.8,"$20,000,000.00","$61,300,000.00"
 Lakeview Terrace,2008,"Drama, Crime, Thriller",6.2,"$20,000,000.00","$27,640,028.00"
 Tangled,2010,"Animation, Family",7.7,"$260,000,000.00","$592,461,732.00"
 Tomorrow Never Dies,1997,"Adventure, Action, Thriller",6.5,"$110,000,000.00","$333,011,068.00"
 Chinatown,2021,"Action, Comedy, Mystery",8.2,"$117,000,000.00","$686,257,563.00"
 Mary Poppins,1964,"Comedy, Family, Fantasy",7.8,"$4,650,000.00","$103,100,000.00"
 The Nun,2018,Horror,5.3,"$22,000,000.00","$366,082,797.00"
 Mrs. Doubtfire,1993,"Comedy, Drama, Family",7.1,"$25,000,000.00","$441,286,195.00"
 When Harry Met Sally...,1989,"Comedy, Romance, Drama",7.7,"$16,000,000.00","$92,823,546.00"
 Cruel Intentions,1999,"Drama, Romance",6.8,"$10,500,000.00","$76,347,426.00"
 TRON: Legacy,2010,"Adventure, Action, Science Fiction",6.8,"$170,000,000.00","$400,062,763.00"
 Minority Report,2002,"Science Fiction, Action, Thriller",7.6,"$102,000,000.00","$358,372,926.00"
 Nomadland,2021,Drama,7.3,"$5,000,000.00","$39,458,207.00"
 Highlander,1994,"Fantasy, Action, Adventure",7.0,"$30,000,000.00","$36,700,000.00"
 Pearl Harbor,2001,"War, History, Romance, Drama, Action",6.2,"$140,000,000.00","$449,220,945.00"
 Blue Velvet,1986,"Mystery, Thriller, Crime, Romance",7.7,"$6,000,000.00","$8,636,706.00"
 Sideways,2004,"Comedy, Drama, Romance",7.5,"$16,000,000.00","$109,502,303.00"
 Sleepers,1996,"Crime, Drama, Thriller",7.5,"$44,000,000.00","$165,600,000.00"
 Marriage Story,2019,Drama,7.9,"$18,000,000.00","$2,300,000.00"
 War of the Worlds,2005,"Adventure, Thriller, Science Fiction",6.5,"$132,000,000.00","$603,873,119.00"
 The Nutcracker: The Untold Story,2010,"Music, Fantasy, Action, Family",4.1,"$90,000,000.00","$1,700,000.00"
 Manchester by the Sea,2016,Drama,7.8,"$9,000,000.00","$79,000,000.00"
 The Call of the Wild,2020,"Adventure, Family, Drama",6.7,"$109,000,000.00","$111,200,000.00"
 American Sniper,2014,"War, Action",7.3,"$58,800,000.00","$542,300,000.00"
 Ice Age,2002,"Animation, Comedy, Family, Adventure",7.5,"$59,000,000.00","$383,257,136.00"
13 Hours,2016,"War, Action, History, Drama",7.3,"$50,000,000.00","$69,411,370.00"
 Moulin Rouge!,2001,"Drama, Romance, Music",7.6,"$52,500,000.00","$179,213,434.00"
 The Cabin in the Woods,2012,"Horror, Mystery",7.0,"$30,000,000.00","$71,038,838.00"
1408,2007,"Horror, Mystery",6.8,"$25,000,000.00","$133,000,000.00"
" Lock, Stock and Two Smoking Barrels",1998,"Comedy, Crime",8.1,"$1,350,000.00","$28,356,188.00"
 Coraline,2009,"Animation, Family, Fantasy",7.7,"$60,000,000.00","$185,860,104.00"
 Sinister,2012,"Horror, Thriller, Mystery",6.8,"$3,000,000.00","$82,515,113.00"
 Solo: A Star Wars Story,2018,"Science Fiction, Adventure, Action",6.9,"$250,000,000.00","$392,952,373.00"
 The NeverEnding Story,1984,"Adventure, Fantasy, Family, Drama",7.3,"$27,000,000.00","$20,158,808.00"
 The Rocker,2008,"Comedy, Music",6.2,"$15,000,000.00","$8,762,890.00"
 Dances with Wolves,1990,"Adventure, Drama, Western",8.0,"$22,000,000.00","$424,208,848.00"
 Juno,2007,"Comedy, Drama, Romance",7.5,"$7,500,000.00","$232,372,681.00"
 Star Wars: Episode VI - Return of the Jedi,1983,"Adventure, Action, Science Fiction",8.3,"$32,350,000.00","$572,700,000.00"
 The Giver,2014,"Drama, Science Fiction",6.4,"$25,000,000.00","$66,980,456.00"
9 Songs,2004,"Drama, Music, Romance",4.7,"$1,000,000.00","$1,574,623.00"
 I Am Legend,2007,"Drama, Science Fiction, Thriller",7.2,"$150,000,000.00","$585,410,052.00"
Spider-Man 2,2004,"Action, Adventure, Science Fiction",7.5,"$200,000,000.00","$788,976,453.00"
 Limitless,2011,"Thriller, Mystery, Science Fiction",7.4,"$27,000,000.00","$161,900,000.00"
 The Amazing Spider-Man,2012,"Action, Adventure, Science Fiction",6.9,"$215,000,000.00","$757,930,663.00"
 Wrath of Man,2021,"Crime, Action, Thriller",7.1,"$40,000,000.00","$103,966,489.00"
 Hot Tub Time Machine,2010,"Science Fiction, Comedy, Adventure",6.4,"$36,000,000.00","$64,780,213.00"
 Fast Five,2011,"Action, Thriller, Crime",7.3,"$125,000,000.00","$626,100,000.00"
 That's My Boy,2012,"Comedy, Drama",5.5,"$70,000,000.00","$58,100,000.00"
 Little Miss Sunshine,2006,"Comedy, Drama",7.8,"$8,000,000.00","$100,523,181.00"
 House of Gucci,2021,"History, Drama, Crime",6.6,"$75,000,000.00","$153,235,995.00"
 Kick-Ass,2010,"Action, Crime",7.6,"$28,000,000.00","$96,188,903.00"
 Kingsman: The Golden Circle,2017,"Action, Adventure, Comedy",6.7,"$104,000,000.00","$410,900,000.00"
 A Few Good Men,1992,Drama,7.7,"$40,000,000.00","$243,240,178.00"
 Bad Times at the El Royale,2018,"Thriller, Mystery, Crime",7.1,"$32,000,000.00","$31,882,724.00"
 Cloud Atlas,2012,"Drama, Science Fiction",7.4,"$102,000,000.00","$130,482,868.00"
 Hit Man,2024,"Comedy, Romance, Crime",7.8,"$8,800,000.00","$5,101,673.00"
 Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.4,"$150,000,000.00","$432,243,292.00"
 Polar,2004,"Animation, Adventure, Family, Fantasy",6.3,"$165,000,000.00","$310,634,054.00"
 Pacific Rim,2013,"Action, Science Fiction, Adventure",6.9,"$180,000,000.00","$411,000,000.00"
 The Last Samurai,2003,"Drama, Action, War",7.8,"$140,000,000.00","$456,800,000.00"
 Dodgeball: A True Underdog Story,2004,Comedy,6.7,"$20,000,000.00","$168,423,227.00"
 Fantastic Beasts and Where to Find Them,2016,"Fantasy, Adventure",7.2,"$180,000,000.00","$809,342,332.00"
 Sea of Love,1989,"Crime, Drama, Romance",6.8,"$19,000,000.00","$110,879,513.00"
 Shaun of the Dead,2004,"Horror, Comedy",7.9,"$6,000,000.00","$39,396,175.00"
 Kiss Kiss Bang Bang,2005,"Comedy, Crime, Mystery",7.5,"$15,000,000.00","$15,785,148.00"
Piranha 3D,2010,"Comedy, Horror",5.5,"$24,000,000.00","$83,188,165.00"
 What We Do in the Shadows,2014,"Comedy, Horror",7.6,"$1,600,000.00","$6,300,000.00"
 Tusk,2014,"Comedy, Horror",5.3,"$3,000,000.00","$1,882,074.00"
 Morbius,2022,"Action, Science Fiction, Fantasy",5.2,"$75,000,000.00","$167,635,712.00"
 Batman Forever,1995,"Action, Crime, Fantasy",5.4,"$100,000,000.00","$336,529,144.00"
