Title,Year,Genre,Rating,Budget,Lifetime_Revenue
 Gremlins,1984,"Fantasy, Horror, Comedy",7.3,"$11,000,000.00","$153,083,102.00"
 The Godfather,1972,"Drama, Crime",9.2,"$6,000,000.00","$245,066,411.00"
 The Wolf of Wall Street,2013,"Crime, Drama, Comedy",8.2,"$100,000,000.00","$392,000,000.00"
The Equalizer 3,2023,"Action, Thriller, Crime",6.9,"$70,000,000.00","$190,000,000.00"
 Underwater,2020,"Horror, Science Fiction, Action, Adventure",5.9,"$50,000,000.00","$40,882,928.00"
 Taylor Swift: The Eras Tour,2023,Music,8.2,"$15,000,000.00","$261,656,269.00"
John Wick: Chapter 4,2023,"Action, Thriller, Crime",7.7,"$90,000,000.00","$440,157,245.00"
The Santa Clause 2,2002,"Fantasy, Comedy, Family",5.7,"$65,000,000.00","$172,842,355.00"
 Gran Turismo,2023,"Adventure, Action, Drama",7.2,"$60,000,000.00","$121,700,000.00"
 Four Christmases,2008,"Comedy, Romance, Drama",5.7,"$80,000,000.00","$164,112,721.00"
 Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction",8.1,"$150,000,000.00","$378,858,340.00"
Home Alone 3,1997,"Comedy, Family",4.6,"$32,000,000.00","$79,082,515.00"
 Glory,2012,"History, Drama, Action, War",7.8,"$12,000,000.00","$10,173,682.00"
 Suicide Squad,2021,"Action, Comedy, Adventure",5.9,"$185,000,000.00","$168,717,425.00"
 The Muppet Christmas Carol,1992,"Music, Comedy, Family, Fantasy, Drama",7.8,"$12,000,000.00","$27,300,000.00"
 The Family Stone,2005,"Comedy, Drama, Romance",6.3,"$19,000,000.00","$92,884,429.00"
 Office Christmas Party,2016,Comedy,5.9,"$45,000,000.00","$114,500,000.00"
 The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy, Action",8.8,"$93,000,000.00","$871,368,364.00"
 Pride & Prejudice,2005,"Drama, Romance",7.8,"$28,000,000.00","$121,600,000.00"
 Gladiator,2024,"Action, Adventure, History",8.5,"$310,000,000.00","$368,092,895.00"
 The Hunger Games: Catching Fire,2013,"Adventure, Action, Science Fiction",7.5,"$130,000,000.00","$865,011,746.00"
 Freelance,2023,"Action, Comedy",5.4,"$40,000,000.00","$9,112,817.00"
 The Dark Knight,2008,"Drama, Action, Crime, Thriller",9.0,"$185,000,000.00","$1,004,558,444.00"
Blade Runner 2049,2017,"Science Fiction, Drama",8.0,"$150,000,000.00","$259,239,658.00"
 Pulp Fiction,1994,"Thriller, Crime",8.9,"$8,500,000.00","$213,928,762.00"
 The Age of Adaline,2015,"Romance, Fantasy, Drama",7.2,"$25,000,000.00","$65,663,276.00"
 The Exorcist: Believer,2023,"Horror, Thriller",4.8,"$30,000,000.00","$136,284,218.00"
 Bad Santa,2003,"Drama, Comedy, Crime",7.1,"$23,000,000.00","$76,500,000.00"
 The Silencing,2024,"Action, Thriller, Horror, Science Fiction",6.2,"$14,750,000.00","$6,283,415.00"
 Scott Pilgrim vs. the World,2010,"Action, Comedy, Romance",7.5,"$85,000,000.00","$51,691,156.00"
Guardians of the Galaxy Vol. 3,2023,"Science Fiction, Adventure, Action",7.9,"$250,000,000.00","$845,600,000.00"
 Fast X,2023,"Action, Crime, Thriller",5.8,"$340,000,000.00","$704,709,660.00"
 Sound of Freedom,2023,"Action, Drama",7.7,"$14,500,000.00","$250,600,000.00"
 Predestination,2014,"Science Fiction, Thriller",7.4,"$5,500,000.00","$4,942,449.00"
 Krampus,2015,"Horror, Comedy, Fantasy",6.2,"$15,000,000.00","$61,800,000.00"
 Fight Club,1999,Drama,8.8,"$63,000,000.00","$100,853,753.00"
 L.A. Confidential,1997,"Crime, Mystery, Thriller",8.2,"$35,000,000.00","$126,216,940.00"
 Transformers: Rise of the Beasts,2023,"Science Fiction, Adventure, Action",6.0,"$195,000,000.00","$439,000,000.00"
 Top Gun: Maverick,2022,"Action, Drama",8.3,"$170,000,000.00","$1,488,732,821.00"
 Dungeons & Dragons: Honor Among Thieves,2023,"Adventure, Fantasy, Comedy",7.3,"$151,000,000.00","$208,200,000.00"
 Pearl,2003,"Adventure, Fantasy, Action",7.0,"$140,000,000.00","$655,011,224.00"
 The Nightmare Before Christmas,1993,"Fantasy, Animation, Family",7.9,"$18,000,000.00","$75,634,409.00"
 Deck the Halls,2006,"Comedy, Family",5.0,"$51,000,000.00","$47,231,070.00"
 Once Upon a Time in Hollywood,2019,"Comedy, Drama, Thriller",7.6,"$95,000,000.00","$374,300,000.00"
 Avatar: The Way of Water,2022,"Science Fiction, Adventure, Action",7.6,"$460,000,000.00","$2,320,250,281.00"
 Inception,2010,"Action, Science Fiction, Adventure",8.8,"$160,000,000.00","$825,532,764.00"
 The Goonies,1985,"Adventure, Comedy, Family",7.7,"$19,000,000.00","$61,389,680.00"
 Saw X,2023,"Horror, Mystery, Thriller",6.6,"$13,000,000.00","$111,823,047.00"
 Godzilla,2023,"Science Fiction, Horror, Action",6.4,"$15,000,000.00","$115,857,413.00"
 Babylon,2022,"Drama, Comedy",7.1,"$78,000,000.00","$63,363,579.00"
 Whiplash,2014,"Drama, Music",8.5,"$3,300,000.00","$50,307,484.00"
 Shazam! Fury of the Gods,2023,"Comedy, Action, Fantasy",6.0,"$125,000,000.00","$134,038,006.00"
 Journey to Bethlehem,2023,"Family, Drama",6.2,"$6,000,000.00","$7,778,330.00"
Die Hard 2,1990,"Action, Thriller",7.1,"$70,000,000.00","$240,031,094.00"
 The Wizard of Oz,1939,"Adventure, Fantasy, Family",8.1,"$2,777,000.00","$33,754,967.00"
 Fargo,1996,"Crime, Drama, Thriller",8.1,"$7,000,000.00","$60,611,975.00"
 Dumb Money,2023,"History, Comedy, Drama",6.9,"$30,000,000.00","$20,703,794.00"
 Requiem for a Dream,2000,"Crime, Drama",8.3,"$4,500,000.00","$7,390,108.00"
 The Favourite,2018,"Drama, Comedy, Thriller, History",7.5,"$15,000,000.00","$95,918,706.00"
 Goodfellas,1990,"Drama, Crime",8.7,"$25,000,000.00","$46,800,000.00"
 Midsommar,2019,"Horror, Drama, Mystery",7.1,"$9,000,000.00","$48,015,416.00"
" The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",6.9,"$180,000,000.00","$745,013,115.00"
 Inglourious Basterds,2009,"Drama, Thriller, War",8.4,"$70,000,000.00","$321,457,747.00"
 Mean Girls,2004,"Drama, Comedy",7.1,"$17,000,000.00","$130,161,094.00"
 The Family Man,2000,"Comedy, Drama, Romance, Fantasy",6.8,"$60,000,000.00","$124,700,000.00"
 She's All That,1999,"Comedy, Romance",5.9,"$10,000,000.00","$103,166,989.00"
 Triangle of Sadness,2022,"Comedy, Drama",7.3,"$15,600,000.00","$24,733,572.00"
 Black Swan,2010,"Drama, Thriller, Horror",8.0,"$13,000,000.00","$329,398,046.00"
 Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War",7.2,"$130,000,000.00","$218,100,001.00"
 The Northman,2022,"Action, Adventure, Fantasy",7.0,"$80,000,000.00","$69,633,110.00"
 Prometheus,2012,"Science Fiction, Adventure, Mystery",7.0,"$130,000,000.00","$403,354,469.00"
 Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction",8.2,"$200,000,000.00","$1,921,847,111.00"
 The Rocky Horror Picture Show,1975,"Comedy, Science Fiction, Fantasy, Horror",7.4,"$1,400,000.00","$170,000,000.00"
Se7en,1995,"Crime, Mystery, Thriller",8.6,"$33,000,000.00","$327,311,859.00"
 Elemental,2023,"Animation, Comedy, Family, Fantasy, Romance",7.0,"$200,000,000.00","$496,000,000.00"
 Hunter Killer,2018,"Action, Adventure, Thriller",6.6,"$40,000,000.00","$31,672,678.00"
 The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,"$19,000,000.00","$272,742,922.00"
 Joker,2024,"Drama, Crime, Thriller",8.4,"$195,000,000.00","$206,400,287.00"
 The Flash,2023,"Adventure, Action, Science Fiction",6.7,"$220,000,000.00","$271,333,313.00"
 The Princess Bride,1987,"Adventure, Family, Fantasy, Comedy, Romance",8.0,"$16,000,000.00","$30,900,000.00"
 American Beauty,1999,Drama,8.3,"$15,000,000.00","$356,296,601.00"
 Jurassic Park,1993,"Adventure, Science Fiction",8.2,"$63,000,000.00","$920,100,000.00"
 Léon: The Professional,1994,"Crime, Drama, Action",8.5,"$16,000,000.00","$45,284,974.00"
 Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy",7.7,"$150,000,000.00","$895,921,036.00"
 The Menu,2022,"Comedy, Horror, Thriller",7.2,"$35,000,000.00","$79,628,200.00"
Expend4bles,2023,"Action, Adventure, Thriller",4.8,"$100,000,000.00","$37,917,985.00"
 Godzilla: King of the Monsters,2019,"Science Fiction, Action",6.0,"$170,000,000.00","$387,300,138.00"
 Little Women,2019,"Drama, Romance, History",7.8,"$40,000,000.00","$216,600,000.00"
 The Killing of a Sacred Deer,2017,"Drama, Thriller, Mystery",7.0,"$3,000,000.00","$10,700,000.00"
 American Psycho,2000,"Thriller, Drama, Crime",7.6,"$7,000,000.00","$34,300,000.00"
 Fred Claus,2007,"Action, Comedy, Drama",5.7,"$100,000,000.00","$97,800,000.00"
 Eyes Wide Shut,1999,"Drama, Thriller, Mystery",7.5,"$65,000,000.00","$162,100,000.00"
